wallet,tx_count,total_volume,avg_tx_value,active_days,protocols_used,chain
0x2bc16fea729cf2aeadcf89b004eced400dd8a27e,43,0.001772327,4.12E-05,62,18,ethereum
0x0152d7b9eb0edd570009c1997c32f212ffa38f00,12,0.000166062,1.38E-05,7,9,ethereum
0x64336f3279ce056a933da39fa1d2f0f8599b24c5,54,2.104667769,0.038975329,12,11,ethereum
0xc88a3ee1d17607e9ded633325af7f7d7968f45dc,93,5.311085826,0.05710845,84,20,ethereum
0xc0fdadeb3e4be77e0f2477f182a86b203a4e275f,6,6.00E-08,1.00E-08,2,1,ethereum
0xb7fbb65d1b6cf13444facb384893fcca302e2f09,23,1.893354845,0.082319776,9,11,ethereum
0x7deab864bf833afb4b578c64c32ca4550fe81d6f,39,8.309513089,0.213064438,46,22,ethereum
0xafcaabf264475846f7eec9b92b52c1901f748b4e,31,0.016126468,0.000520209,17,19,ethereum
0xf9ee31f6e7b3ea347e23c71f7c626555c3dbf236,151,3.896575647,0.025805137,47,74,ethereum
0x791e9ee2c4b2b44a2714e8382e2de6d93b8e6d75,32,0.00027986,8.75E-06,12,2,ethereum
0xc2a8447df081a03eb0c77038cf014374fe8b1167,17,4.523237054,0.266072768,41,7,ethereum
